corner,scorer,before,random moves,suggested,drop_suggested,drop_random
4,gnn_hard (optimised),0.9270634651184082,0.9195030927658081,0.834868311882019,0.09219515323638916,0.007560372352600098
4,gnn_hybrid (independent),0.8554338812828064,0.9072117805480957,0.8528324961662292,0.0026013851165771484,-0.05177789926528931
4,lgbm_hard (independent),0.6859873601817004,0.6896628509848466,0.6469043665488837,0.03908299363281664,-0.0036754908031462197
8,gnn_hard (optimised),0.7369973659515381,0.7214200496673584,0.5145009756088257,0.2224963903427124,0.015577316284179688
8,gnn_hybrid (independent),0.6083260178565979,0.6421489715576172,0.3899763524532318,0.2183496654033661,-0.03382295370101929
8,lgbm_hard (independent),0.8332538806161603,0.8173158075076085,0.79067104716934,0.042582833446820345,0.015938073108551887
19,gnn_hard (optimised),0.7925779819488525,0.8728092908859253,0.5755088925361633,0.2170690894126892,-0.08023130893707275
19,gnn_hybrid (independent),0.8905586004257202,0.9644138216972351,0.4743330478668213,0.4162255525588989,-0.07385522127151489
19,lgbm_hard (independent),0.5516524888307219,0.5105757939088216,0.46885343355401715,0.08279905527670478,0.04107669492190036
25,gnn_hard (optimised),0.77388596534729,0.725750744342804,0.6065893769264221,0.16729658842086792,0.048135221004486084
25,gnn_hybrid (independent),0.7340813279151917,0.7327136397361755,0.5760862827301025,0.1579950451850891,0.0013676881790161133
25,lgbm_hard (independent),0.562781285362787,0.548920655781895,0.40842983760036844,0.1543514477624186,0.01386062958089207
30,gnn_hard (optimised),0.8926018476486206,0.8497235178947449,0.7169959545135498,0.1756058931350708,0.04287832975387573
30,gnn_hybrid (independent),0.9405127167701721,0.8237810730934143,0.6994122862815857,0.24110043048858643,0.11673164367675781
30,lgbm_hard (independent),0.6132522391337217,0.6295337511732445,0.6354699809483776,-0.022217741814655856,-0.016281512039522772
68,gnn_hard (optimised),0.6721494793891907,0.6664565801620483,0.50139319896698,0.1707562804222107,0.005692899227142334
68,gnn_hybrid (independent),0.5232776403427124,0.4732329547405243,0.3417157232761383,0.1815619170665741,0.05004468560218811
68,lgbm_hard (independent),0.6516780707416217,0.6762500266297562,0.643445188422838,0.008232882318783608,-0.024571955888134545
82,gnn_hard (optimised),0.865112841129303,0.8618292212486267,0.7436426877975464,0.12147015333175659,0.0032836198806762695
82,gnn_hybrid (independent),0.8176822662353516,0.878829300403595,0.6681697368621826,0.14951252937316895,-0.06114703416824341
82,lgbm_hard (independent),0.6857361002683164,0.6454399874406727,0.652223140217863,0.033512960050453455,0.04029611282764378
91,gnn_hard (optimised),0.82173752784729,0.7443227767944336,0.6400373578071594,0.18170017004013062,0.07741475105285645
91,gnn_hybrid (independent),0.7008163928985596,0.6775626540184021,0.538460373878479,0.16235601902008057,0.02325373888015747
91,lgbm_hard (independent),0.7240643858167979,0.6683543315923502,0.6842414621159114,0.03982292370088647,0.055710054224447636
93,gnn_hard (optimised),0.8306678533554077,0.8730193972587585,0.5755226612091064,0.25514519214630127,-0.04235154390335083
93,gnn_hybrid (independent),0.7336441874504089,0.779438853263855,0.5397292971611023,0.19391489028930664,-0.045794665813446045
93,lgbm_hard (independent),0.7861041101380006,0.8115465023982605,0.6974826500021053,0.08862146013589534,-0.025442392260259905
96,gnn_hard (optimised),0.7934426665306091,0.599256157875061,0.5348565578460693,0.2585861086845398,0.1941865086555481
96,gnn_hybrid (independent),0.6858373284339905,0.37725335359573364,0.41902273893356323,0.26681458950042725,0.30858397483825684
96,lgbm_hard (independent),0.6215840564659889,0.6129803190994572,0.5279181413315189,0.09366591513446998,0.00860373736653175
97,gnn_hard (optimised),0.8787505626678467,0.883713960647583,0.7045893669128418,0.17416119575500488,-0.004963397979736328
97,gnn_hybrid (independent),0.8074838519096375,0.9069138169288635,0.5406307578086853,0.26685309410095215,-0.09942996501922607
97,lgbm_hard (independent),0.5372818736872045,0.5178252730102559,0.5385513374856303,-0.0012694637984258517,0.019456600676948543
98,gnn_hard (optimised),0.7489661574363708,0.8080524802207947,0.47538214921951294,0.2735840082168579,-0.05908632278442383
98,gnn_hybrid (independent),0.5861544609069824,0.6060408353805542,0.35880836844444275,0.22734609246253967,-0.019886374473571777
98,lgbm_hard (independent),0.5627896207776927,0.5677140875204663,0.36695948380486976,0.19583013697282292,-0.004924466742773581
101,gnn_hard (optimised),0.8425999879837036,0.8876062631607056,0.6598291397094727,0.18277084827423096,-0.04500627517700195
101,gnn_hybrid (independent),0.8174368143081665,0.8503249883651733,0.4826872944831848,0.3347495198249817,-0.032888174057006836
101,lgbm_hard (independent),0.8859538426235045,0.8709774813905528,0.8092675416931864,0.07668630093031814,0.014976361232951763
102,gnn_hard (optimised),0.7270829081535339,0.7372506856918335,0.4998379051685333,0.2272450029850006,-0.01016777753829956
102,gnn_hybrid (independent),0.5264595746994019,0.633906364440918,0.4685114026069641,0.057948172092437744,-0.10744678974151611
102,lgbm_hard (independent),0.5818110034726215,0.5799788573143443,0.37068567970286875,0.21112532376975274,0.0018321461582772036
107,gnn_hard (optimised),0.827743649482727,0.8036535382270813,0.5682775974273682,0.2594660520553589,0.024090111255645752
107,gnn_hybrid (independent),0.9065080881118774,0.9057177901268005,0.6605270504951477,0.24598103761672974,0.0007902979850769043
107,lgbm_hard (independent),0.5119970481029453,0.4477613928705645,0.4013040315299922,0.1106930165729531,0.06423565523238084
109,gnn_hard (optimised),0.7008154392242432,0.7035203576087952,0.4815855026245117,0.21922993659973145,-0.002704918384552002
109,gnn_hybrid (independent),0.5863146781921387,0.6330535411834717,0.38526034355163574,0.20105433464050293,-0.04673886299133301
109,lgbm_hard (independent),0.525995758390794,0.5221278146987631,0.4708374517896749,0.055158306601119145,0.0038679436920309174
111,gnn_hard (optimised),0.931076169013977,0.9660626649856567,0.8084439635276794,0.12263220548629761,-0.03498649597167969
111,gnn_hybrid (independent),0.9804893732070923,0.9878203272819519,0.9117933511734009,0.0686960220336914,-0.007330954074859619
111,lgbm_hard (independent),0.9336796255318371,0.938237969827689,0.9382760048504001,-0.004596379318562938,-0.0045583442958518905
114,gnn_hard (optimised),0.7855087518692017,0.8281983137130737,0.5905998945236206,0.19490885734558105,-0.04268956184387207
114,gnn_hybrid (independent),0.9561477303504944,0.9547452330589294,0.7629164457321167,0.19323128461837769,0.0014024972915649414
114,lgbm_hard (independent),0.5356928307904036,0.5573564098037103,0.372248606787012,0.16344422400339165,-0.021663579013306622
115,gnn_hard (optimised),0.8459105491638184,0.815784215927124,0.7337131500244141,0.1121973991394043,0.030126333236694336
